VAR;TENDANCE
ville_BQZEGANGANE;0
ville_BQZMAMRA;0
BanqueARAB.BANK;0
BanqueATTIJARIWAFA;0
BanqueBAM;0
BanqueBMAO;0
BanqueBMCE;0
BanqueBMCI;0
BanqueBP.AGADIR;0
BanqueBP.CASA;0
BanqueBP.EL.JADIDA;0
BanqueBP.FES;0
BanqueBP.KENITRA;0
BanqueBP.LAAYOUNE;0
BanqueBP.MARRAKECH;0
BanqueBP.MEKNES;0
BanqueBP.NADOR;0
BanqueBP.NORD;0
BanqueBP.OUJDA;0
BanqueBP.RABAT;0
BanqueCCP;0
BanqueCDM;0
BanqueCFG;0
BanqueCIH;0
BanqueCNCA;0
BanqueSGMB;0
BanqueTGR;0
BanqueUMB;0
BanqueWAFABANK;0
CodeProduitCA;0
CodeProduitCIM;0
CodeProduitDS;0
CodeProduitLOA;0
CodeProduitSD;0
CodeProduitSR;0
CodeProduitSW;0
AgenceSLF.SALON.2016;0
AgenceSLFAgence.Agadir;0
AgenceSLFAgence.Casa.Mohamed.V;0
AgenceSLFAgence.Casa.Normandie;0
AgenceSLFAgence.F.A.R;0
AgenceSLFAgence.Fes;0
AgenceSLFAgence.Internet;0
AgenceSLFAgence.Marrakech;0
AgenceSLFAgence.Rabat;0
AgenceSLFAgence.Salé;0
AgenceSLFAgence.Tanger;0
AgenceSLFDesk.ALI.YATA;0
AgenceSLFDesk.Beni.Mellal;0
AgenceSLFDesk.Côtière;0
AgenceSLFDesk.El.Jadida;0
AgenceSLFDesk.Fes;0
AgenceSLFDesk.Kénitra;0
AgenceSLFDesk.Meknes;0
AgenceSLFDesk.Mohammedia;0
AgenceSLFDesk.Nador;0
AgenceSLFDesk.Oujda;0
AgenceSLFDesk.Tétouan;0
AgenceSLFPlateforme.BMCE;0
AgenceSLFSiège;0
NationaliteETR;0
NationaliteMAR;0
SituationFamilialeC;0
SituationFamilialeD;0
SituationFamilialeM;0
SituationFamilialeV;0
ProfessionAgent.de.maitrise...Technicien;0
ProfessionAgriculteur;0
ProfessionArtisan;0
ProfessionAutre;0
ProfessionAutre.Prof..Libérale;0
ProfessionCadre.Moyen;0
ProfessionCadre.Sup.;0
ProfessionCommerçant;0
ProfessionDirigeant.non.salarié;0
ProfessionDirigeant.salarié;0
ProfessionEmployé;0
ProfessionEtudiant;0
ProfessionFonctionnaire;0
ProfessionInactif;0
ProfessionMedecin..privé.;0
ProfessionOuvrier...Coursier;0
ProfessionPharmacien;0
ProfessionProf.libérale;0
ProfessionRentier;0
ProfessionRetraité;0
ProfessionRetraité.CMR;0
ProfessionRetraité.Privé;0
ProfessionRetraité.Public..Non.CMR.;0
TypeLogementAutres.logement;0
TypeLogementLocataire;0
TypeLogementLogé.famille;0
TypeLogementLogement.fonction;0
TypeLogementPropriétaire;0
TYPE_PMAgence.de.voyage;0
TYPE_PMAutre.PM;0
TYPE_PMLoueur;0
TYPE_PMNon.PM;0
TYPE_PMTransporteur.de.marchandises;0
TYPE_PMTransporteur.de.personnes;0
TYPE_CLIENTParticulier;0
TYPE_CLIENTPM;0
TYPE_CLIENTProfessionnels;0
Anc_ClientAnc;0
Anc_ClientNv;0
SexeF;0
SexeM;0
MarqueVehiculeABARTH;0
MarqueVehiculeALFA;0
MarqueVehiculeASLE;0
MarqueVehiculeAUDI;0
MarqueVehiculeBMW;0
MarqueVehiculeCHERY;0
MarqueVehiculeCHEV;0
MarqueVehiculeCHRY;0
MarqueVehiculeCITR;0
MarqueVehiculeDACIA;0
MarqueVehiculeDAF;0
MarqueVehiculeDOD;0
MarqueVehiculeFIAT;0
MarqueVehiculeFORC;0
MarqueVehiculeFORD;0
MarqueVehiculeGEE;0
MarqueVehiculeGREA;0
MarqueVehiculeHINO;0
MarqueVehiculeHOND;0
MarqueVehiculeHYUN;0
MarqueVehiculeINFI;0
MarqueVehiculeISUZ;0
MarqueVehiculeIVEC;0
MarqueVehiculeJAGU;0
MarqueVehiculeJEEP;0
MarqueVehiculeJIANG;0
MarqueVehiculeKIA;0
MarqueVehiculeLANC;0
MarqueVehiculeLAND;0
MarqueVehiculeMAHI;0
MarqueVehiculeMAN;0
MarqueVehiculeMASE;0
MarqueVehiculeMAZ;0
MarqueVehiculeMERC;0
MarqueVehiculeMINI;0
MarqueVehiculeMITS;0
MarqueVehiculeNISS;0
MarqueVehiculeOPEL;0
MarqueVehiculePEUG;0
MarqueVehiculePORS;0
MarqueVehiculeRENA;0
MarqueVehiculeSCAN;0
MarqueVehiculeSEAT;0
MarqueVehiculeSKODA;0
MarqueVehiculeSSAN;0
MarqueVehiculeSUB;0
MarqueVehiculeSUZU;0
MarqueVehiculeTOYO;0
MarqueVehiculeVOLV;0
MarqueVehiculeVOWA;0
MarqueVehiculeWULI;0
MarqueVehiculeZOT;0
SecteurActiviteADMINISTRATION.FONCTION.PUBLIQUE;0
SecteurActiviteAGRICULTURE.PECHE;0
SecteurActiviteARTISANAT;0
SecteurActiviteBTP;0
SecteurActiviteCOMMERCE;0
SecteurActiviteDIVERS;0
SecteurActiviteINDUSTRIE;0
SecteurActiviteSANTE.Secteur.Privé;0
SecteurActiviteSERVICES;0
SecteurActiviteTourisme...Hôtellerie...Restauration...Loisirs;0
Ville_TribunalRegistredeCommerceAGADIR;0
Ville_TribunalRegistredeCommerceALHOCEIMA;0
Ville_TribunalRegistredeCommerceASILAH;0
Ville_TribunalRegistredeCommerceAZILAL;0
Ville_TribunalRegistredeCommerceBEJAAD;0
Ville_TribunalRegistredeCommerceBENAHMED;0
Ville_TribunalRegistredeCommerceBENGUERIR;0
Ville_TribunalRegistredeCommerceBENIMELLAL;0
Ville_TribunalRegistredeCommerceBENSLIMAN;0
Ville_TribunalRegistredeCommerceBERCHID;0
Ville_TribunalRegistredeCommerceBERKANE;0
Ville_TribunalRegistredeCommerceBOUARFA;0
Ville_TribunalRegistredeCommerceBOULEMANE;0
Ville_TribunalRegistredeCommerceCASABLANCA;0
Ville_TribunalRegistredeCommerceCHEFCHAOUEN;0
Ville_TribunalRegistredeCommerceDAKHLA;0
Ville_TribunalRegistredeCommerceELJADIDA;0
Ville_TribunalRegistredeCommerceELKALAASRAGHNA;0
Ville_TribunalRegistredeCommerceERRACHIDIA;0
Ville_TribunalRegistredeCommerceESSAOUIRA;0
Ville_TribunalRegistredeCommerceFES;0
Ville_TribunalRegistredeCommerceFKIHBENSALAH;0
Ville_TribunalRegistredeCommerceGUELMIM;0
Ville_TribunalRegistredeCommerceIMINTANOUT;0
Ville_TribunalRegistredeCommerceINEZAGANE;0
Ville_TribunalRegistredeCommerceKASBATADLA;0
Ville_TribunalRegistredeCommerceKENITRA;0
Ville_TribunalRegistredeCommerceKHAMISSAT;0
Ville_TribunalRegistredeCommerceKHENIFRA;0
Ville_TribunalRegistredeCommerceKHOURIBGA;0
Ville_TribunalRegistredeCommerceKSARELKABIR;0
Ville_TribunalRegistredeCommerceLAAYOUN;0
Ville_TribunalRegistredeCommerceLARACH;0
Ville_TribunalRegistredeCommerceMARRAKECH;0
Ville_TribunalRegistredeCommerceMEKNES;0
Ville_TribunalRegistredeCommerceMIDELT;0
Ville_TribunalRegistredeCommerceMOHAMMEDIA;0
Ville_TribunalRegistredeCommerceNADOR;0
Ville_TribunalRegistredeCommerceOUARZAZAT;0
Ville_TribunalRegistredeCommerceOUAZZANE;0
Ville_TribunalRegistredeCommerceOUEDZEM;0
Ville_TribunalRegistredeCommerceOUJDA;0
Ville_TribunalRegistredeCommerceRABAT;0
Ville_TribunalRegistredeCommerceROMMANI;0
Ville_TribunalRegistredeCommerceSAFI;0
Ville_TribunalRegistredeCommerceSALE;0
Ville_TribunalRegistredeCommerceSEFROU;0
Ville_TribunalRegistredeCommerceSETTAT;0
Ville_TribunalRegistredeCommerceSIDIBENNOUR;0
Ville_TribunalRegistredeCommerceSIDIKACEM;0
Ville_TribunalRegistredeCommerceSIDISLIMAN;0
Ville_TribunalRegistredeCommerceSOUKELARBAA;0
Ville_TribunalRegistredeCommerceTANGER;0
Ville_TribunalRegistredeCommerceTANTAN;0
Ville_TribunalRegistredeCommerceTAOUANATE;0
Ville_TribunalRegistredeCommerceTAOURIRT;0
Ville_TribunalRegistredeCommerceTAROUDANNT;0
Ville_TribunalRegistredeCommerceTAZA;0
Ville_TribunalRegistredeCommerceTETOUAN;0
Ville_TribunalRegistredeCommerceTIZNIT;0
Ville_TribunalRegistredeCommerceYOUSSOUFIA;0
Ville_TribunalRegistredeCommerceZAGORA;0
ConcessionnaireAuto3GM.SARL;0
ConcessionnaireAutoA.T.A;0
ConcessionnaireAutoACCESS.AUTOS;0
ConcessionnaireAutoAL.WASSILA.MOTORS;0
ConcessionnaireAutoAMAN.AUTOS;0
ConcessionnaireAutoANGRY.CAR;0
ConcessionnaireAutoARIJ.AUTO.sarl;0
ConcessionnaireAutoASIAN.HALL.S.A;0
ConcessionnaireAutoATLAS.VEHICULES.INDUSTRIELS;0
ConcessionnaireAutoATLAS.VEHICULES.INDUSTRIELS.TANGER.;0
ConcessionnaireAutoAUTO.BILAN.sarl;0
ConcessionnaireAutoAUTO.CONFIANCE;0
ConcessionnaireAutoAUTO.EXCELLENCE.sarl;0
ConcessionnaireAutoAUTO.HALL...Succursale.Dakhla;0
ConcessionnaireAutoAUTO.HALL...Succursale.Oujda.2..;0
ConcessionnaireAutoAUTO.HALL..Agadir.II.;0
ConcessionnaireAutoAUTO.HALL..Agadir.;0
ConcessionnaireAutoAUTO.HALL..BENI.MELLAL.;0
ConcessionnaireAutoAUTO.HALL..CASABLANCA.;0
ConcessionnaireAutoAUTO.HALL..Chemaia.;0
ConcessionnaireAutoAUTO.HALL..Chichaoua.;0
ConcessionnaireAutoAUTO.HALL..EL.JADIDA.;0
ConcessionnaireAutoAUTO.HALL..FES.;0
ConcessionnaireAutoAUTO.HALL..Karia.Ba.Mohamed.;0
ConcessionnaireAutoAUTO.HALL..KENITRA.;0
ConcessionnaireAutoAUTO.HALL..MARRAKECH.;0
ConcessionnaireAutoAUTO.HALL..MEKNES.;0
ConcessionnaireAutoAUTO.HALL..NADOR.;0
ConcessionnaireAutoAUTO.HALL..Oujda.;0
ConcessionnaireAutoAUTO.HALL..RABAT.;0
ConcessionnaireAutoAUTO.HALL..ROMMANI.;0
ConcessionnaireAutoAUTO.HALL..SAFI.;0
ConcessionnaireAutoAUTO.HALL..SETTAT.;0
ConcessionnaireAutoAUTO.HALL..SUCCURSALE.SALE.;0
ConcessionnaireAutoAUTO.HALL.SUCCURSALE.TANGER;0
ConcessionnaireAutoAUTO.HALL.SUCCURSALE.TETOUAN;0
ConcessionnaireAutoAUTO.INOVA.SARL;0
ConcessionnaireAutoAuto.LOULANTI.S.A.R.L;0
ConcessionnaireAutoAUTO.MESKI.sarl;0
ConcessionnaireAutoAUTO.MIA;0
ConcessionnaireAutoAUTO.NEJMA..CASABLANCA.;0
ConcessionnaireAutoAUTO.NEJMA..RABAT.;0
ConcessionnaireAutoAUTO.NEJMA.MAROC;0
ConcessionnaireAutoAuto.PRIVILEGE;0
ConcessionnaireAutoAUTO.QUALITE.S.A.R.L;0
ConcessionnaireAutoAUTO.STAR.MARRAKECH;0
ConcessionnaireAutoAUTO.ZLATO;0
ConcessionnaireAutoAutomobile.Company;0
ConcessionnaireAutoAUTOMOBILES.MENARA;0
ConcessionnaireAutoAUTOS.KHOURIBGA;0
ConcessionnaireAutoAUTOVOLUTION.SARL.AU;0
ConcessionnaireAutoAVENTADOR.SARL;0
ConcessionnaireAutoAVG.AUTO;0
ConcessionnaireAutoBatha.Auto;0
ConcessionnaireAutoBAVARIA.MOTORS;0
ConcessionnaireAutoBELFARJIA.MOTORS;0
ConcessionnaireAutoBELLE.AUTO;0
ConcessionnaireAutoBIG.AUTO;0
ConcessionnaireAutoBLAIR.AUTO;0
ConcessionnaireAutoBOUGHAZ.AUTO;0
ConcessionnaireAutoBouregreg.Auto.Expo.S.A.R.L;0
ConcessionnaireAutoCADOZAT.s.a.r.l;0
ConcessionnaireAutoCARMAKERS;0
ConcessionnaireAutoCASABLANCA.JEEMEO.CARS;0
ConcessionnaireAutoCC.AUTOMOBILE;0
ConcessionnaireAutoCENTRAL.GARAGE;0
ConcessionnaireAutoCENTRALE.AUTO.CHERIFIENNE;0
ConcessionnaireAutoCFAO.MOTORS;0
ConcessionnaireAutoCFAO.Motors...Tanger;0
ConcessionnaireAutoCOMAM.s.a;0
ConcessionnaireAutoCONCESSION.MOTORS.COMPAGNY;0
ConcessionnaireAutoCONTINENTAL.MOTORS;0
